"PCSI_ID","Arg1_MPO_high_PMNnegMDSCs","Arg1pos_TAMs","B_cells","Basal","Capillaries","CC3pos_CXCL13pos_Fibronectinpos_CAFs","CC3pos_HIF1Apos_CTGFpos_ECM_CAFs","CC3pos_SERPINEpos_iCAFs","CCL21_high_lymphatic_endothelial_cells","CD105_high_myCAFs","CD34pos_CAFs","CD36_high_pericytes","CD4_T_cells","CD8_T_cells","cDC1s","CleavedCaspase3pos_MDSCs","CleavedCaspase3pos_monocytes","CLU_high_endothelial_cells","Col1A2neg_myCAFs","Col1A2_Decorin_high_CD105pos_myCAFs","Col1A2_Decorin_Fibronectin_high_iCAFs","Col1A2_Periostin_Decorin_high_myCAFs","COL1A2pos_myCAFs","CTGFpos_Fibronectinpos_CAFs","CTLA4pos_TIGITpos_activated_CD4_T_cells","CTLA4pos_TIGITpos_activated_Tregs","CTLA4pos_TIGITpos_Tregs","CXCL12_high_capillaries","CXCL12_high_endothelial_cells","CXCL13pos_CAFs","CXCL13pos_CLUpos_CD105pos_CAFs","Decorin_Periostin_high_CD105pos_CAFs","ECM_CAFs","ECM_myCAFs","Endothelial_cells","Exocrine","Fibronectin_high_myCAFs","Fibronectin_pMLC2_high_myCAFs","Gamma_delta_T_cells","GZMBpos_CD8_T_cells","GZMBpos_PD1pos_CD4_T_cells","GZMBpos_tissue_resident_CD8_T_cells","HIF1Apos_endothelial_cells","HLADR_high_activated_cDC2s","HLADR_high_DCs","HLADR_high_monocytes","HLADR_high_TAMs","HLADRpos_CD8_T_cells","HLADRpos_mature_B_cells","Hybrid","iNOSpos_MPOpos_PMNnegMDSCs","iNOSpos_TAMs","MPO_high_neutrophils","MPO_high_TAMs","MPOpos_MonegMDSCs","Nonnegpolarized","PD1pos_CD8_T_cells","PD1pos_PMNnegMDSCs","PD1pos_tissue_resident_CD8_T_cells","PDPN_high_endothelial_cells","PDPN_high_myCAFs","plasmacytoid_DCs","pMLC2_YAPpos_muralneglike_myCAFs","Proliferating_HLADRpos_cDC2s","Proliferating_monocytes","S100A4pos_NonnegBasal","TAMs","Tenascin_high_myCAFs","TFhigh_Classical","TFlow_Classical","Tip_cells","Tissue_resident_CD4_T_cells","Tissue_resident_CD8_T_cells","Tissue_resident_memory_NK_cells","Vascular_smooth_muscle_cells","Veins","Venules","Vim_high_TAMs","YAP_Col1A2_high_CD105pos_iCAFs","YAP_pMLC2_ECM_high_iCAFs"
"PCSI_0004",3.39794622466937e-06,0,1.01938386740081e-05,2.62401545445457e-05,1.14187310395057e-05,6.17228704838147e-07,2.16030046693352e-06,4.194060024578e-05,0,0.000473414416610859,4.6292152862861e-06,3.08614352419074e-07,0.000150075958256231,2.91657050950788e-05,9.62751430322989e-06,0,9.06118993245166e-06,6.17228704838147e-06,1.54307176209537e-06,3.08614352419074e-07,6.17228704838147e-07,0.000421567205404455,8.7955090439436e-05,6.17228704838147e-07,9.34435211784078e-06,3.05815160220244e-05,1.81223798649033e-05,2.16030046693352e-06,5.8636726959624e-06,9.25843057257221e-07,2.46891481935259e-06,2.83822063489015e-05,0.000195352885081274,2.80839060701357e-05,4.75266102725373e-05,6.64307709988497e-06,6.17228704838147e-07,9.81393640692654e-05,4.81375715161494e-06,8.77802774706255e-06,3.68110841005849e-06,4.81375715161494e-06,9.25843057257221e-07,3.08646782074135e-05,3.19973269489699e-05,0.000169047824677301,0.000157438175076348,7.64537900550609e-06,5.66324370778229e-07,2.65723083995399e-06,0,1.38749470840666e-05,0,1.13264874155646e-06,3.11478403928026e-06,0.000188331235781739,3.68110841005849e-05,4.53059496622583e-06,2.15203260895727e-05,4.6292152862861e-06,0.000138567844236164,0,8.09503348180828e-05,5.66324370778229e-07,1.2459136157121e-05,2.65723083995399e-06,1.16096496009537e-05,5.89987213390597e-05,1.328615419977e-06,9.59924640933379e-05,2.77752917177166e-06,1.81223798649033e-05,1.35917848986775e-05,4.24743278083672e-06,7.00554579991297e-05,3.70337222902888e-06,9.25843057257221e-07,1.2459136157121e-05,0,2.25288477265924e-05
"PCSI_0015",4.34984677348004e-05,0,0.000163858305641772,0.000273761857089661,1.13788987425938e-06,3.49588643956235e-05,1.32640385284787e-05,1.19478436797234e-05,1.89648312376563e-07,1.89648312376563e-07,2.65507637327188e-06,0,1.77372392705011e-05,5.49009786944083e-06,0,1.68926088290487e-06,1.47810327254176e-05,3.79296624753125e-07,0,0,1.89648312376563e-07,9.6720639312047e-06,0,5.68944937129688e-06,7.60167397307191e-06,1.52033479461438e-05,5.06778264871461e-06,7.58593249506251e-07,8.15487743219219e-06,5.68944937129688e-07,1.89648312376563e-07,0,1.06203054930875e-05,0.000298911127284721,1.17581953673469e-05,2.8738717767242e-06,9.48241561882813e-07,3.62228276639235e-05,8.44630441452435e-07,1.90041849326798e-06,4.22315220726217e-07,4.64546742798839e-06,1.32753818663594e-06,3.58967937617285e-06,1.7526081660138e-05,7.70725277825347e-05,5.02555112664199e-05,1.47810327254176e-06,5.49009786944083e-06,2.61261070611291e-07,0,0,1.26694566217865e-06,5.27894025907772e-06,3.58967937617285e-06,7.21080554887163e-05,4.43430981762528e-06,1.90041849326798e-06,4.01199459689907e-06,0,7.39628418268594e-06,0,7.77558080743907e-06,0,8.65746202488746e-06,7.83783211833872e-07,1.90041849326798e-06,4.36191118466094e-06,0,2.61261070611291e-06,0,4.8566250383515e-06,3.16736415544663e-06,2.5338913243573e-06,5.68944937129688e-07,5.68944937129688e-07,1.89648312376563e-07,2.09046034259478e-05,0,2.08613143614219e-06
"PCSI_0018",3.73777979617887e-05,0,1.55740824840786e-05,1.67623377091416e-05,2.03074316333153e-05,7.43652426008729e-06,2.28816131079609e-06,6.29244360468924e-06,1.43010081924756e-06,0.000215945223706381,1.4014988028626e-05,1.14408065539804e-06,1.7442972382168e-05,6.85259629299459e-06,1.0901857738855e-05,6.22963299363145e-07,3.4262981464973e-06,4.31890447412762e-05,2.86020163849511e-07,1.51590686840241e-05,1.14408065539804e-06,0.00012270265029144,0.000159599251428027,1.2298867045529e-05,1.55740824840786e-06,5.29518804458673e-06,1.65085274331233e-05,0,3.43224196619413e-06,1.71612098309707e-06,1.02967258985824e-05,1.71612098309707e-06,5.00535286736644e-05,2.5741814746456e-05,4.26170044135772e-05,2.0952922136427e-06,8.99469730480647e-06,0.000247979482057526,3.11481649681572e-07,1.86888989808943e-06,3.11481649681572e-07,3.73777979617887e-06,2.86020163849511e-07,8.09852289172088e-06,3.8623724560515e-05,0.000119920435127405,9.74937563503321e-05,9.34444949044717e-07,3.11481649681572e-07,3.35246754182832e-06,0,3.4262981464973e-06,2.18037154777101e-06,2.49185319745258e-06,2.49185319745258e-06,0.000346980390579231,9.34444949044717e-07,3.11481649681572e-07,2.80333484713415e-06,5.72040327699022e-07,0.000123846730946838,6.22963299363145e-07,2.5169774418757e-05,0,2.08692705286653e-05,5.44775975547102e-06,9.0329678407656e-06,9.15264524318435e-06,4.60964287001394e-06,1.0057402625485e-05,1.71612098309707e-06,4.36074309554201e-06,5.91815134394987e-06,3.73777979617887e-06,8.06576862055621e-05,2.00214114694658e-06,8.58060491548533e-07,1.68200090828049e-05,0,3.14622180234462e-06
"PCSI_0019",6.21497900489543e-05,0,1.6669314549554e-05,5.26686132986142e-07,1.59148017005761e-05,1.23339713179465e-05,3.97870042514403e-07,3.02381232310947e-05,3.18296034011523e-06,0.000127716283647123,6.96272574400206e-06,1.98935021257202e-07,6.72946402185697e-05,4.65094455333234e-05,3.7042921221231e-06,2.24315467395232e-05,6.79120222389235e-06,1.73073468493765e-05,2.98402531885803e-06,2.22807223808066e-05,5.96805063771605e-07,0.000102650470968716,5.86858312708745e-05,1.01456860841173e-05,1.07012883528001e-05,2.81937789294925e-05,4.98021496418773e-05,3.18296034011523e-06,1.33286464242325e-05,1.15886799333202e-05,7.75846582903087e-06,1.98935021257202e-07,0.000207887097213776,1.05435561266317e-05,0.000112303164058098,7.90029199479213e-06,8.99469730480647e-06,0.000505760615896373,2.05794006784617e-07,6.1738202035385e-06,1.02897003392308e-06,4.11588013569234e-05,4.17763544640124e-06,4.4039917451908e-05,4.38341234451234e-05,9.65173891819853e-05,0.000158049797210586,2.14025767056001e-05,1.02897003392308e-06,3.42345986440992e-06,6.1738202035385e-07,1.02897003392308e-06,6.79120222389235e-06,1.9344636637754e-05,4.73326215604619e-06,2.81777081147586e-05,2.38721047870155e-05,3.29270410855387e-06,5.20658837165081e-05,1.12872631938267e-05,0.00021667096783772,2.05794006784617e-07,8.09503348180828e-05,1.02897003392308e-06,3.29270410855387e-06,2.63343066493071e-07,8.64334828495391e-06,7.75846582903087e-06,1.00070365267367e-05,0.000310404372082034,4.57550548891564e-06,2.36663107802309e-05,3.95689321217176e-05,1.09070823595847e-05,6.12719865472181e-05,5.96805063771605e-06,3.77976540388683e-06,1.09070823595847e-05,0,9.29026549271132e-05
"PCSI_0072",7.34113970319947e-05,0,6.55458902071381e-06,0.000164071081199868,6.88408880752306e-05,9.91943632207934e-07,5.9516617932476e-07,1.23001010393784e-05,1.36525259974829e-05,0.000440224583973881,2.9758308966238e-06,4.76132943459808e-06,3.53947807118546e-05,2.42519793766411e-05,5.46215751726151e-06,1.02688561324516e-05,1.20167465379753e-05,5.39617335921116e-05,6.93606187862043e-06,2.47985908051983e-05,0,9.40362563333121e-05,0.000100781473032326,1.58710981153269e-06,7.86550682485658e-06,2.55628971807839e-05,1.74789040552368e-05,5.55488434036443e-06,1.30936559451447e-05,4.95971816103967e-06,2.12275937292498e-05,5.35649561392284e-06,0.000235289029559722,1.92437064648339e-05,9.28459239746626e-05,0.000141225740779634,7.73716033122188e-06,0.000207911385310783,1.31091780414276e-06,7.42853422347565e-06,4.36972601380921e-07,2.42519793766411e-05,3.17421962306539e-06,1.04873424331421e-05,3.62687259146164e-05,0.000187461245992415,0.000169545369335797,5.89913011864243e-06,4.36972601380921e-07,1.55763684683419e-06,4.36972601380921e-07,8.52096572692796e-06,1.96637670621414e-06,8.3024794262375e-06,1.44200958455704e-05,0.000162773050494173,2.11931711669747e-05,2.84032190897599e-06,3.67056985159974e-05,3.96777452883173e-07,6.22940601026582e-05,0,8.9274926898714e-06,1.52940410483322e-06,8.95793832830888e-06,7.00936581075387e-06,3.71426711173783e-05,1.58710981153269e-05,5.45172896391968e-06,5.11424098043894e-05,9.86779877586311e-06,1.92267944607605e-05,2.25040889711174e-05,4.80669861519013e-06,5.51520659507611e-05,1.78549853797428e-06,4.76132943459808e-06,5.41846025712342e-05,0,5.15810688748125e-06
"PCSI_0073",0.000408655459418931,4.27463869685075e-07,9.7461762288197e-05,0.000273761857089661,1.47921170579249e-05,3.44473958883183e-06,1.32640385284787e-05,1.76289614251982e-05,3.03947610779279e-06,0.000171629084220033,2.43158088623423e-06,4.05263481039039e-07,3.86854802064992e-05,1.00454009375993e-05,6.83942191496119e-06,6.93890261408957e-05,1.94496060706709e-05,2.35052819002643e-05,6.93606187862043e-06,3.24210784831231e-06,1.41842218363664e-06,3.87026624392282e-05,2.99894975968889e-05,4.72772267507764e-05,1.28239160905522e-05,4.12502634246097e-05,1.92358741358284e-05,1.82368566467567e-06,4.05263481039039e-06,2.43158088623423e-06,1.03342187664955e-05,8.10526962078078e-07,0.000391283248974275,5.83579412696216e-05,0.000112303164058098,1.56677271977121e-06,5.87632047506606e-06,0.000489963548576198,6.41195804527612e-07,3.4197109574806e-06,4.27463869685075e-07,1.30376480253948e-05,9.72632354493693e-06,1.7098554787403e-05,5.98449417559104e-06,0.000188939030400803,0.00026032549663821,7.05315384980373e-06,9.40420513307164e-06,7.83386359885605e-07,7.26688578464627e-06,5.55703030590597e-05,1.51749673738201e-05,5.12956643622089e-05,2.68674896069946e-05,9.24395904665014e-05,1.32513799602373e-05,2.11594615494112e-05,1.64573589828754e-05,6.07895221558558e-06,0.00020222647703848,2.13731934842537e-07,8.09503348180828e-05,1.06865967421269e-06,1.58161631783478e-05,5.56829298593496e-05,4.78759534047283e-05,5.89987213390597e-05,5.2225757325707e-07,1.82790150639974e-05,2.02631740519519e-06,1.81672144616157e-05,1.26101841557097e-05,1.09003286769694e-05,4.80237225031261e-05,2.43158088623423e-06,2.22894914571471e-06,6.10714347266942e-05,0,0.000105001508747529
"PCSI_0074",3.98931232541005e-06,0,1.19679369762301e-05,1.60420366838818e-05,0.000106864665971726,8.12622299656098e-07,0,9.48059349598781e-06,1.00223416957585e-05,0.000770095065974096,8.66797119633172e-06,5.83162916482937e-06,0.000120293110120057,4.2348084685122e-05,6.75114393530931e-06,0,4.90992286204314e-06,0.000107931543454963,5.41748199770732e-07,6.20301688737488e-05,0,0.000166045823229729,0.000287761160684722,2.70874099885366e-07,7.3648842930647e-06,7.6717544719424e-06,2.24015230580718e-05,4.60485969805122e-06,2.97961509873903e-06,2.16699279908293e-06,9.68131013737941e-05,2.97961509873903e-06,2.97961509873903e-06,1.89611869919756e-06,3.11505214868171e-05,0.000101163047659581,2.16699279908293e-06,1.32728308943829e-05,3.68244214653235e-06,2.14809125214387e-06,1.22748071551078e-06,3.06870178877696e-07,0,3.46763302131796e-05,1.10473264395971e-05,6.44427375643162e-05,0.000103108380102906,4.29618250428774e-06,3.68244214653235e-06,9.82165511258072e-07,3.98931232541005e-06,1.47297685861294e-05,6.13740357755392e-07,3.95862530752228e-05,2.14809125214387e-06,1.60420366838818e-05,2.1174042342561e-05,2.14809125214387e-06,1.53435089438848e-06,8.12622299656098e-07,4.46942264810854e-05,0,8.12622299656098e-07,3.06870178877696e-07,3.98931232541005e-06,9.82165511258072e-07,1.13541966184748e-05,8.12622299656098e-07,3.27388503752691e-07,7.46445788556135e-05,9.86779877586311e-06,8.89923518745318e-06,4.29618250428774e-06,5.52366321979853e-06,0.000154669111034544,2.70874099885366e-07,1.08349639954146e-06,2.05603019848056e-05,8.12622299656098e-07,0
"PCSI_0076",7.35174741846453e-06,0,4.34978388925818e-05,2.5047213998387e-06,1.19564121198511e-05,5.19844005210916e-07,0,9.87703609900741e-06,1.55953201563275e-06,0.00059574122997171,3.63890803647641e-06,5.83162916482937e-06,0.000149485530842112,6.37151442933592e-05,1.47034948369291e-05,0,4.28851932743764e-06,0.000107931543454963,0,8.24774681057557e-05,0,0.000237568710381389,0.000170508833709181,0,4.28851932743764e-06,3.67587370923226e-06,6.39255016192998e-05,1.55953201563275e-06,2.07937602084367e-06,0,7.74567567764265e-05,1.55953201563275e-06,6.75797206774191e-06,1.55953201563275e-06,6.238128062531e-05,2.5047213998387e-06,2.07937602084367e-06,2.44326682449131e-05,3.06322809102689e-06,1.83793685461613e-06,0,6.12645618205377e-07,0,6.18772074387431e-05,6.31024986751539e-05,4.77863582200194e-05,0.000151936113314934,1.71540773097506e-05,4.93072694729546e-05,7.51416419951609e-06,0,1.65414316915452e-05,0,6.12645618205377e-07,6.12645618205377e-07,3.2561378197903e-05,8.57703865487528e-06,1.83793685461613e-06,8.57703865487528e-06,0,9.25322329275431e-05,4.33899288124141e-06,1.8714384187593e-05,1.83793685461613e-06,1.04149755094914e-05,3.33962853311826e-06,3.36955090012957e-05,6.75797206774191e-06,0.000179762293383797,2.08726783319891e-05,9.86779877586311e-06,1.65414316915452e-05,2.81816984374473e-05,4.90116494564302e-06,0.000157696230929161,1.03968801042183e-06,2.07937602084367e-06,0,0,0
"PCSI_0079",1.46500703309536e-05,4.24639719737785e-07,8.06815467501791e-05,0.000273761857089661,2.75983279781326e-05,1.46926350387181e-05,1.98549122144839e-06,1.62810280158768e-05,1.58839297715871e-06,0.000582741673495102,4.96372805362097e-06,0,6.81546750179145e-05,4.26762918336474e-05,2.08073462671515e-05,1.06159929934446e-06,2.72147684304436e-05,4.56662980933129e-06,5.95647366434516e-07,1.98549122144839e-07,1.98549122144839e-07,0.000116151236454731,3.85185296960987e-05,2.18404034359323e-06,2.8501302473598e-05,6.4060894249325e-05,3.3546537859285e-05,9.53035786295226e-06,9.33180874080742e-06,3.17678595431742e-06,4.16953156504162e-06,9.7289069850971e-06,0.000213043208061412,0.000298911127284721,4.58648472154578e-05,4.32456719226071e-05,4.96372805362097e-06,3.15693104210294e-05,2.7601581782956e-06,1.01913532737068e-05,1.27391915921335e-06,4.75596486106319e-05,5.95647366434516e-07,1.46500703309536e-05,1.06159929934446e-05,0.000230913823584807,0.000115714323628546,1.16775922927891e-05,4.24639719737785e-06,0,0,5.7326362164601e-06,1.91087873882003e-06,2.7601581782956e-06,4.24639719737785e-06,2.80816051445501e-06,4.11900528145651e-05,4.67103691711564e-06,4.84089280501075e-05,1.12872631938267e-05,0.000197159278289825,2.54783831842671e-06,8.73616137437291e-06,2.12319859868892e-06,2.9724780381645e-05,0,1.46500703309536e-05,2.85910735888568e-05,0,2.24652841156401e-06,3.97098244289678e-07,2.20812654263648e-05,1.52870299105603e-05,1.14652724329202e-05,1.94578139701942e-05,5.75792454220033e-06,8.33906313008323e-06,1.35884710316091e-05,1.98549122144839e-07,6.35357190863484e-06
"PCSI_0080",0.000406201494095328,2.50997340574166e-06,4.76549238882787e-05,1.37507256497068e-05,0.000106864665971726,2.29418678305229e-07,2.29418678305229e-07,2.75302413966275e-06,8.02965374068302e-06,0.000833570456105414,2.75302413966275e-06,1.83534942644183e-06,0.00021306037399786,9.0519141142286e-05,3.22966614727481e-05,3.63085134386885e-05,1.10942679951548e-05,8.37378175814086e-05,2.29418678305229e-07,4.58837356610458e-07,0,7.80023506237779e-05,5.57487388281707e-05,6.88256034915688e-07,1.36156925395082e-05,4.23599323451366e-05,5.11849182503734e-05,2.0158627749527e-05,1.81240755861131e-05,0,8.46554922946296e-05,2.34007051871334e-05,9.63558448881962e-06,1.6059307481366e-06,9.84206129929433e-05,0.000269363225884702,4.58837356610458e-07,1.9041750299334e-05,7.4209473785573e-06,4.4156097141668e-05,2.52142454435337e-06,2.64749577157104e-05,1.00944218454301e-05,0.000112707677132596,0.000106575854621547,0.000116741956403561,0.000292833975375892,3.14579212681185e-05,1.21028378128962e-05,1.79357291083133e-06,2.52142454435337e-07,1.46242623572495e-05,4.03427927096539e-06,4.74027814338434e-05,2.68674896069946e-05,0.000165307636614954,9.47182179542677e-05,2.60436879369994e-05,7.19310526038358e-05,9.17674713220917e-07,2.24830304739125e-05,4.33899288124141e-06,2.06476810474706e-06,4.7907066342714e-06,2.49621029890984e-05,1.79357291083133e-06,1.86585416282149e-05,1.05532592020405e-05,2.21207325669197e-05,0.000154546199149966,6.19430431424119e-06,5.57037267728113e-05,3.95689321217176e-05,9.32927081410747e-06,4.38189675562988e-05,5.04721092271504e-06,3.67069885288367e-06,4.4124929526184e-05,0,3.44128017457844e-06
