PCSI_ID,PRSS1_ep,TP63_ep,CEACAM6_ep,KRT5_ep,KRT19_ep,KRT20_ep,CLDN3_ep,AGR2_ep,TFF1_ep,GATA6_ep,KRT81_ep,SPP1_ep,VCAM1_ep,S100A2_ep,INS_ep,S100P_ep,MUC16_ep,PDX1_ep,MMP7_ep,CA9_ep,TSPAN8_ep,CAV1_ep,REG4_ep,ANXA2_ep,S100A4_ep,Fibronectin_caf,p-MLC2_caf,Decorin_caf,Col1A2_caf,CD74_caf,Tenacin_caf,YAP_caf,Periostin_caf,ColIV_caf,CD34_caf,CTGF_caf,SERPINE1_PAI-1_caf,FGG_caf,Cleaved_Col1_caf,p-FAK_caf,NR2F2_caf,MYH11_caf,CD36_caf,CXCL12_caf,ESM1_caf,CCL21_caf,PGP9.5_caf,p-SMAD2_caf,CXCL13_caf,PDGFRb_caf,HLA-ABC_caf,CD105_ENG_caf,PDGFRab_caf,FN-EDA__humanized__caf,HIF1A_caf,PNAD_caf,FN-EDB__humanized__caf,HLA-DR_im,CD303_CLEC4C_im,CD79A_im,CD15_im,CD66b_im,CD278__iCOS__im,CD20_im,CD68_im,CD4_im,CD8a_im,CD24_im,CD11c_im,CLEC9A_im,FOXP3_im,TIGIT_im,IgM_im,PD-L1_im,CD103_im,CD3_im,GranzymeB_im,CTLA-4_im,iNOS_im,Arginase_im,gamma_delta_TCR_im,NKp46_im,CD14_im,CD1c_im,PD1_im,MPO_im,CASP3,CD31,CD45,CDH1,CLU,DNA1,DNA2,FAP,MKI67,PDPN,S100A9,SMA,VIM,panCK
PCSI_0004,0.560952738,-0.542476572,-0.676354443,-0.034651909,1.059415283,0.738635385,1.764263606,-0.785500973,0.415850303,1.58246205,2.184444422,0.344462114,0.783314392,0.160001412,-0.506773495,-0.347932152,-0.28314084899999997,2.214495619,0.149992969,-0.110366486,2.074047244,0.347302149,0.192444842,-0.71915044400000006,2.366142222,0.126125366,1.052274825,1.405071519,-0.262720335,-0.517723321,0.200834967,0.415381049,1.823195913,0.049233749,0.112216271,-0.49622466,0.710249253,-0.566558615,-0.521126477,-0.540431731,-0.507151135,0.289005838,-0.801495341,-0.326880822,0.262947072,-0.321628275,1.31337352,-0.224656283,-0.869409755,1.119396067,-0.436650598,1.633283839,1.202339665,-0.356228698,-0.479749703,-0.220602827,-0.413145382,-0.472460018,-0.964222483,-0.239567356,-0.566392846,-0.398437969,-1.00153451,-1.305406962,-0.646990275,-0.449253509,-0.310040193,-0.562732064,-0.384397234,-0.556930703,-0.886132545,-0.798837892,1.321865906,-0.655078269,-0.42295545,-5.35e-5,-0.807187486,-0.441199427,-0.4608183,-0.439250791,-0.429899344,-0.38067427,-0.300481055,-0.436708589,-0.486124574,-0.624923046,2.365754637,0.149336719,-0.069903386,0.017234824,-0.063928495,-0.217302211,-0.206694517,0.792111551,0.293458065,1.91869734,-0.440487223,0.163836733,0.346348577,-0.48952859
PCSI_0015,0.284847367,0.786879167,-0.928566127,0.359495904,0.775826122,-0.165179819,0.268760667,-0.842282589,-0.434905218,-0.403317188,0.027431897,1.16002863,-0.332117657,0.427339723,-0.525772668,-0.285407519,0.208115683,-0.129850751,-0.639625562,1.021015132,0.069755304,0.618510238,-0.20277322,-0.667701525,-0.021260009,1.665231342,1.251990668,1.833382503,0.25508912500000003,-0.741954322,1.286297924,0.595531482,1.823195913,1.537870092,0.378424206,1.388659434,0.21639952,0.565012,1.461933951,0.040472945,0.33214397,0.135338675,-1.103147087,0.001572736,-0.291145727,-0.011073621,0.163347912,-0.679174653,1.883033987,-0.912748262,-0.252366601,-1.250150978,-0.371691918,1.34878092,-0.38980981,-0.030403958,1.449319019,-0.954041494,-1.01583914,1.849408802,-0.602897488,-0.370504013,-0.966403101,-1.207345934,-0.795687427,-0.744829756,-0.816251298,-0.369252335,-0.447332934,-0.574049038,-0.874047665,-0.595596951,-0.379768983,-0.672236338,-0.3925534,0.129095624,0.354375441,0.151023884,-0.476522934,-0.496530831,-0.135165947,-0.496066017,-0.481024744,-0.445218885,-0.453918563,-0.496382745,0.261541649,-0.694558426,-0.483006787,-0.552486821,0.920312949,-1.07870385,-1.080244909,0.092219457,-0.335427305,1.91869734,-0.375140225,0.766266125,-0.33771529,-0.026698804
PCSI_0018,-0.449103765,-0.682621803,-0.429484219,-0.255505022,-0.874614692,-0.39124469,-0.99017429,-0.682438459,-0.696233466,-0.938708804,-0.820330086,-0.64585855700000006,-1.15097873,-0.120352082,-0.646776386,-0.264407969,-0.404116336,-0.823484346,0.021956283,-0.448637856,-0.76333527,-0.602345284,-0.358632092,-0.863953283,-0.775366057,0.096009126,-0.655651355,-0.936258776,-0.478449803,-0.413403697,-0.27842124,-0.613370665,-0.33031229,-0.730687117,-0.349346788,-0.945195537,-0.708450149,-0.229726714,-0.447588062,-0.758370078,-1.068873242,-0.606702969,-1.191954175,-1.213387,-0.666865337,-0.714526317,-0.575695316,-1.066716476,-0.091391991,-1.240098896,-0.617533806,-0.79884812,-1.100836096,0.12152644,-0.39180865,-0.262244706,-0.141174737,-0.823746068,-0.939021041,-0.52636227,-0.5987094,-0.303915671,-0.644072661,0.218485519,-0.601148087,-0.789638377,-0.81718954,-0.918039457,-0.388279546,-0.262281495,-1.029609301,-0.831090085,-0.522866246,-0.774626287,-1.318879981,-1.158224877,-0.796323145,-1.373829101,-0.685722312,-0.564503412,-1.274742975,-0.88237035,-0.706688963,-1.12683845,-0.581959236,-0.61778159,-0.798871238,-1.157669661,-0.912868364,1.70698274,-0.707632427,-1.506570704,-1.508072965,-0.726783655,-0.782760252,-0.332722248,-0.444490038,0.149078613,-1.026673606,-0.653630803
PCSI_0019,0.391458437,-0.30640057,-0.846790706,-0.218915655,-0.507035189,-0.222817874,0.887321937,0.478747001,0.774939788,0.75506641,-0.11227918,-0.454996239,-6.96984e-4,-0.30763076,-0.477450113,1.172341145,1.002427354,-0.146834316,0.490028295,1.559344996,-0.059022216,2.007367184,-0.213513933,0.729910722,-0.292277654,-0.373435505,1.637895491,-0.120404515,-0.534261397,0.736127582,-0.039648553,1.59998863,-0.389681271,0.445614442,0.218131154,0.710768773,0.942917613,0.543500263,0.893171329,0.26183831,0.625520016,1.046604496,0.001570346,0.621557882,1.357071997,0.313609518,-0.397712154,1.283539653,0.045389949,0.473981929,0.071016483,-0.580179683,0.893895861,-0.388298304,-0.346362577,-0.115172764,1.329469451,0.429556195,1.203694455,0.315961424,2.065983308,-0.191317902,0.857829434,0.7273384,-0.524391406,-0.295646615,0.387957943,0.277957322,-0.253342554,-0.351955725,0.351190451,-0.374485846,-0.347799866,2.018764532,1.090284625,1.321456647,0.492464807,0.527499599,-0.320789129,0.059219513,0.193134379,1.745154453,-0.068722835,1.085786455,0.291396232,-0.20204205,0.136684902,-0.134522969,-0.404068637,0.201152182,-0.213679169,1.298187428,1.299068715,0.861043153,-0.094102214,1.91869734,-0.346575533,0.609540033,0.269356733,-0.544794492
PCSI_0072,0.263273983,-0.611963168,0.330134545,-0.160578379,0.120436452,-0.119750234,0.30431851,-0.188859729,0.30228363,0.037871988,0.471052659,0.265587394,-0.141362985,1.620662854,0.453307751,-0.394420968,-0.447493835,0.443430237,1.009695687,-0.366674723,0.558138632,-0.824070942,-0.116916536,-0.562745685,0.699974334,-0.210469829,0.071570626,-0.574740314,-0.861789148,-0.652130182,-0.225308406,-0.149621033,-0.327137264,-1.015277095,-0.504939138,-1.306317561,-0.697015877,-0.209598,-0.576321494,-0.83720353300000006,-1.012210818,-0.543449482,-0.189265637,-0.811568037,-0.372957438,-0.265075763,0.840236649,-0.400873436,-0.346766673,-0.218260591,-0.630405805,-0.102564697,-0.223784277,-0.047932976,-0.392559452,-0.232413328,-0.064512385,-0.584522605,-0.912042987,-0.693693558,-0.488977538,-0.307174369,-0.990018701,-1.367590264,-0.237513559,-0.680770429,-0.498599585,-0.742746205,-0.323751731,-0.565464048,-0.847529389,-0.986487988,-0.575244344,-0.600905212,-0.178118407,0.48261969,-0.634233174,-0.625289076,-0.310079676,-0.378514224,-0.872089455,-0.493067625,-0.127413551,-0.874499846,-0.652648174,-0.482687208,0.605472903,-0.250788838,-0.387566981,-0.922162509,-0.39972161,-0.438208785,-0.433994767,0.301073788,-0.315965915,-0.156983216,-0.291189072,-0.079728112,0.195952306,-0.292530907
PCSI_0073,-0.72811348,2.056143408,0.606966841,-0.181762659,0.234881972,-0.160408068,0.231539868,1.068589631,-0.070890905,0.286215835,0.378638965,1.417399097,0.824733208,-0.19074261,-0.472532499,0.508483306,0.350903337,0.242687691,0.558603444,-0.122148407,0.196792091,0.146409738,-0.120582287,1.595190684,0.858655027,-0.240218211,1.603403109,-0.84664712,-0.922241509,1.911071754,0.317083177,1.132408582,-0.348814666,-0.136576198,-0.396833465,1.706638817,0.792044072,-0.474248414,0.133633224,-0.272834631,0.229958096,0.093880848,0.607111789,0.198936684,0.236528682,0.006777374,-0.402533024,0.416800521,-0.521719369,0.483205198,0.339555485,0.033275998,0.150162688,0.247732045,0.632738473,-0.066735071000000007,0.895735692,1.051175467,0.71002608,0.232789463,0.042152238,0.355152254,0.367947249,0.160111297,0.654814623,0.051608901,-0.327752884,0.253455858,-0.274572773,-0.033630086,0.621246467,0.242097142,-0.365268477,0.2494508,0.985393383,1.408727288,0.500248442,0.891805708,0.198779058,0.542781377,0.062366041,0.812234387,0.567793448,0.497376247,0.32673626,0.471973053,0.390650068,0.887558947,0.297424414,-0.423146703,-0.420577966,0.989221613,0.989814236,1.795382061,0.032794871,0.739397133,0.585451535,1.156453334,0.067864709,0.938154098
PCSI_0074,-1.317440844,1.980932028,-0.846288823,-0.24619468,-0.841196965,-0.214603448,-0.797847587,-0.788173713,-0.544373312,-0.769439093,-0.572176309,-0.791789896,-1.230900029,-0.374883946,0.299096811,-0.487587385,-1.166113889,-0.551162571,-0.933038087,-0.55868783,-0.469598073,-1.052017883,-0.282281995,-1.636558914,-0.461206142,-0.514139828,-1.058720881,-0.29567039,-0.40404361,-1.08334775,-0.488175825,-1.129633502,-1.144282132,-1.440981977,-0.792369283,-1.588604706,-1.085670419,-0.505177378,-1.295902253,-1.349336596,-1.266352538,-0.843360469,-0.026617242,-1.105993317,-0.711809645,-0.773776791,0.46559602,-1.226097982,-0.724042904,-0.411835741,-1.14452052,0.150037027,-0.5488871,-0.652230064,-0.415947954,-0.283282784,-0.720604558,-1.019289378,-1.224974603,-1.344863445,-0.541379425,-0.34710691,-0.912128906,-0.346829006,-0.776328157,-0.919275687,-0.920058912,-1.239063368,-0.580826214,-0.574620637,-1.383901615,-1.26129408,-0.279567237,-0.857511242,-1.461641404,-1.097123817,-1.518531972,-1.449490783,-0.619095104,-0.687368729,-1.283563478,-1.394061498,-1.021979419,-1.270886336,-1.429364827,0.462186555,-0.666893067,-1.052069442,-0.878272051,-1.122227826,-0.470902813,-0.967300327,-0.973603705,-1.132253585,-0.820167553,-0.886362262,-0.534860508,0.118534666,-0.540122158,-1.162433803
PCSI_0076,-0.974249487,-0.964555424,-0.434390018,-0.245115458,-0.72474485,-0.345054572,-0.808246722,-0.170826223,-0.128207794,-0.421428678,-0.65184975,-0.935202023,-0.897053054,-0.39028553,-0.340556115,-0.396174819,-0.779128129,-0.699329893,-1.13262847,-0.617290674,-0.624454252,0.13262625,-0.10776665,-0.919210938,-0.679720452,-0.609622937,-0.930705039,-0.561045499,-0.485127633,-1.000777717,-0.465578065,-1.154428339,-0.785651354,-1.446545235,-1.223475568,-1.588914575,-0.979929192,-0.036779256,-0.375500743,-1.172530121,-1.404563649,-0.724201951,-1.10835576,-1.257649987,-0.606057861,-0.762440989,-0.824298944,-1.388262482,-1.01953621,-0.574289667,-0.934655046,-0.348961905,-0.461222969,-0.627923825,-0.496548532,-0.278645692,-0.976178969,-0.816852984,-1.63718627,-1.303597925,-0.656693491,-0.415231273,-1.668943526,-1.715602127,-0.751425499,-0.962718481,-0.888486616,-1.464250297,-0.433908548,-0.716674819,-1.497908364,-1.630741303,-0.638900004,-1.118770779,-1.504782201,-1.099902302,-1.40434858,-1.526873439,-0.709048854,-0.656338165,-1.360601413,-0.968598155,-1.006984138,-0.884180067,-1.297797792,-0.466800013,-0.92642247,-0.880101803,-0.734976567,-0.564333825,-0.465210591,-0.847381004,-0.882705864,-1.159053911,-0.835527928,-0.370607551,-0.563228331,-0.150147906,-1.417551061,-0.826969112
PCSI_0079,-0.385558146,2.056143408,-0.927609353,0.359495904,-0.034425777,-0.257979154,0.18898961,-0.865195672,-0.537964456,-0.561954345,-0.095058163,-0.525007186,0.353232575,0.737741339,-0.442084681,-0.502963978,0.525529693,-0.17530456,-0.663621107,-0.377517857,-0.200654115,-0.509668469,-0.205165919,-0.691808809,-0.226289647,0.727373467,-0.873903537,0.379097158,0.133651015,0.478195024,1.286297924,1.59998863,1.703682188,1.456044226,0.231895114,0.027347032,0.96312836,0.135628677,0.295570395,0.148169284,0.75681061,0.429885398,-0.570212438,0.250308143,0.560953442,0.220961227,1.508847159,0.952661902,1.883033987,-0.049323105,0.833613507,1.166516199,0.688565935,0.099361853,-0.402481846,-0.138294148,1.272161279,1.311495054,0.200159486,1.625350064,-0.628006125,-0.343633041,0.276843085,-0.451844864,-0.563191081,0.390675521,0.834382271,0.578563053,-0.167393669,-0.243178385,0.633985695,0.477435574,-0.21781244,-0.435231026,0.72790074,-0.035456126,0.601713293,0.501778844,-0.047553198,-0.030905731,1.50754719,1.764870079,0.983115481,0.601280077,1.112788296,-0.490549878,-0.068559667,1.972387009,0.097025871,-0.450734984,-0.118955962,1.247799882,1.271645057,-0.170222536,0.024785483,1.91869734,-0.420714093,0.753596202,-0.15418545,0.103663669
PCSI_0080,0.218030502,1.328545218,-0.142928088,-0.010146588,2.12922233,0.582132605,2.128119917,-0.510039805,0.956534522,2.226012625,2.184444422,1.417399097,1.893286492,0.064186158,0.6079596,-0.25932252,0.329727855,2.219484066,1.114851721,0.147358422,2.074047244,-0.266370621,0.475402238,0.062211111,2.369311153,-0.755877469,0.843243703,-0.636160122,-0.998608792,0.448000343,-0.376696065,0.317294543,-0.634640122,0.054945112,0.693219194,-0.074797339,-0.032855143,-0.939912106,-0.652893336,0.728556837,-0.046745556,-0.040252683,1.077829356,-0.335819329,0.398357429,0.042235911,-0.259939411,0.11730641,-0.505690622,0.165030187,0.146236691,1.027129932,0.115388443,-0.617199062,0.346539175,-0.195105762,-0.202663815,1.08083233,0.9097176,0.093023545,0.252876204,0.062754563,0.514904876,0.491693276,0.163577273,0.830428647,1.097869292,0.68106797,0.571838455,0.363721996,0.637747488,0.900527046,-0.209078494,0.709155645,0.947845803,1.195525935,0.426426589,0.83763991,1.264196702,1.344545396,0.879797986,0.912530377,0.628967907,1.058575999,0.743891659,0.75976251,2.365754637,1.931990758,1.247432255,-0.083581861,1.070019407,1.174858158,1.182490752,0.903123184,0.933506819,0.552115365,0.440009547,-0.317984036,0.723920265,1.122697903
