,Fold selected features,Fold nb of features
Fold 0,"['Sex', 'ARID1A', 'pMLC2_YAPpos_muralneglike_myCAFs', 'CTGFpos_Fibronectinpos_CAFs', 'YAP_pMLC2_ECM_high_iCAFs', 'Deletion 22q13.33', 'ploidy', 'CEACAM6_ep', 'Fibronectin_caf', 'iNOS_im']",10
Fold 1,"['TAMs', 'TFhigh_Classical', 'CTGFpos_Fibronectinpos_CAFs', 'Deletion 22q13.33', 'CEACAM6_ep']",5
Fold 2,"['CTGFpos_Fibronectinpos_CAFs', 'Deletion 22q13.33', 'CEACAM6_ep', 'KRT5_ep']",4
Fold 3,"['KDM6A', 'TFhigh_Classical', 'Deletion 22q13.33', 'CEACAM6_ep']",4
Fold 4,"['TAMs', 'Deletion 22q13.33', 'PDGFRab_caf']",3
Fold 5,"['TAMs', 'TFhigh_Classical', 'Deletion 22q13.33']",3
Fold 6,"['Nonnegpolarized', 'CTGFpos_Fibronectinpos_CAFs', 'Deletion 22q13.33']",3
Fold 7,"['TFhigh_Classical', 'ploidy', 'CEACAM6_ep']",3
Fold 8,"['ARID1A', 'AHNAK', 'PLXNB2', 'SMAD4', 'LRP1B', 'ATM', 'pMLC2_YAPpos_muralneglike_myCAFs', 'TAMs', 'Nonnegpolarized', 'Tenascin_high_myCAFs', 'TFhigh_Classical', 'CTGFpos_Fibronectinpos_CAFs', 'YAP_pMLC2_ECM_high_iCAFs', 'CD34pos_CAFs', 'ECM-rich', 'Deletion 22q13.33', 'Deletion 1p36.11', 'CEACAM6_ep', 'PDGFRab_caf', 'Fibronectin_caf', 'iNOS_im']",21
Fold 9,"['TFhigh_Classical', 'CTGFpos_Fibronectinpos_CAFs', 'CEACAM6_ep']",3
Fold 10,"['Sex', 'KDM6A', 'SMAD4', 'TAMs', 'Nonnegpolarized', 'S100A4pos_NonnegBasal', 'Tenascin_high_myCAFs', 'TFhigh_Classical', 'CTGFpos_Fibronectinpos_CAFs', 'YAP_pMLC2_ECM_high_iCAFs', 'ECM-rich', 'Stiff matrix', 'Deletion 22q13.33', 'ploidy', 'Deletion 1p36.11', 'CEACAM6_ep', 'PDGFRab_caf', 'CLEC9A_im', 'Fibronectin_caf', 'ANXA2_ep', 'iNOS_im']",21
