"TiffName","Sample","SampleName"
"PDAC2_s0_a1_ac_full.tiff","PDAC2_Sector1Row2Column5_Punch1_Case115_ID_GSDM_1395","PDAC2_1"
"PDAC2_s0_a2_ac_full.tiff","PDAC2_Sector4Row2Column5_Punch2_Case44_ID_1_70971","PDAC2_2"
"PDAC2_s0_a3_ac_full.tiff","PDAC2_Sector4Row1Column6_Punch2_Case37_ID_1_69553","PDAC2_3"
"PDAC2_s0_a4_ac_full.tiff","PDAC2_Sector4Row2Column1_Punch2_Case40_ID_1_70237","PDAC2_4"
"PDAC2_s0_a5_ac_full.tiff","PDAC2_Sector1Row2Column6_Punch1_Case116_ID_GSDM_1452","PDAC2_5"
"PDAC2_s0_a6_ac_full.tiff","PDAC2_Sector1Row3Column6_Punch1_Case124_ID_GSDM_1774","PDAC2_6"
"PDAC2_s0_a7_ac_full.tiff","PDAC2_Sector3Row3Column3_Punch2_Case18_ID_1_44422","PDAC2_7"
"PDAC2_s0_a8_ac_full.tiff","PDAC2_Sector3Row3Column6_Punch2_Case21_ID_1_4568","PDAC2_8"
"PDAC2_s0_a9_ac_full.tiff","PDAC2_Sector1Row4Column3_Punch1_Case129_ID_GSDM_1949","PDAC2_9"
"PDAC2_s0_a10_ac_full.tiff","PDAC2_Sector4Row1Column1_Punch2_Case32_ID_1_66124","PDAC2_10"
"PDAC2_s0_a11_ac_full.tiff","PDAC2_Sector1Row3Column8_Punch1_Case126_ID_GSDM_1844","PDAC2_11"
"PDAC2_s0_a12_ac_full.tiff","PDAC2_Sector4Row3Column3_Punch2_Case50_ID_1_76997","PDAC2_12"
"PDAC2_s0_a13_ac_full.tiff","PDAC2_Sector3Row2Column4_Punch2_Case11_ID_1_3583","PDAC2_13"
"PDAC2_s0_a14_ac_full.tiff","PDAC2_Sector4Row2Column4_Punch2_Case43_ID_1_70640","PDAC2_14"
"PDAC2_s0_a15_ac_full.tiff","PDAC2_Sector3Row1Column3_Punch2_Case2_ID_1_100217","PDAC2_15"
"PDAC2_s0_a16_ac_full.tiff","PDAC2_Sector1Row2Column2_Punch1_Case112_ID_GSDM_1117","PDAC2_16"
"PDAC2_s0_a17_ac_full.tiff","PDAC2_Sector2Row2Column1_Punch1_Case143_ID_GSDM_2506","PDAC2_17"
"PDAC2_s0_a18_ac_full.tiff","PDAC2_Sector3Row4Column3_Punch2_Case26_ID_1_5102","PDAC2_18"
"PDAC2_s0_a19_ac_full.tiff","PDAC2_Sector3Row3Column7_Punch2_Case22_ID_1_4623","PDAC2_19"
"PDAC2_s0_a20_ac_full.tiff","PDAC2_Sector3Row4Column2_Punch2_Case25_ID_1_48194","PDAC2_20"
"PDAC2_s0_a21_ac_full.tiff","PDAC2_Sector3Row3Column5_Punch2_Case20_ID_1_4567","PDAC2_21"
"PDAC2_s0_a22_ac_full.tiff","PDAC2_Sector2Row2Column3_Punch1_Case145_ID_GSDM_2545","PDAC2_22"
"PDAC2_s0_a23_ac_full.tiff","PDAC2_Sector1Row4Column7_Punch1_Case133_ID_GSDM_2116","PDAC2_23"
"PDAC2_s0_a24_ac_full.tiff","PDAC2_Sector2Row4Column8_Punch1_Case166_ID_GSDM_999","PDAC2_24"
"PDAC2_s0_a25_ac_full.tiff","PDAC2_Sector3Row1Column5_Punch2_Case4_ID_1_104134","PDAC2_25"
"PDAC2_s0_a26_ac_full.tiff","PDAC2_Sector3Row2Column8_Punch2_Case15_ID_1_41902","PDAC2_26"
"PDAC2_s0_a27_ac_full.tiff","PDAC2_Sector3Row2Column6_Punch2_Case13_ID_1_40185","PDAC2_27"
"PDAC2_s0_a28_ac_full.tiff","PDAC2_Sector3Row4Column1_Punch2_Case24_ID_1_48081","PDAC2_28"
"PDAC2_s0_a29_ac_full.tiff","PDAC2_Sector1Row2Column8_Punch1_Case118_ID_GSDM_1486","PDAC2_29"
"PDAC2_s0_a30_ac_full.tiff","PDAC2_Sector1Row4Column6_Punch1_Case132_ID_GSDM_2053","PDAC2_30"
"PDAC2_s0_a31_ac_full.tiff","PDAC2_Sector1Row3Column2_Punch1_Case120_ID_GSDM_1587","PDAC2_31"
"PDAC2_s0_a32_ac_full.tiff","PDAC2_Sector2Row2Column5_Punch1_Case147_ID_GSDM_2577","PDAC2_32"
"PDAC2_s0_a33_ac_full.tiff","PDAC2_Sector2Row3Column1_Punch1_Case151_ID_GSDM_2703","PDAC2_33"
"PDAC2_s0_a34_ac_full.tiff","PDAC2_Sector4Row3Column7_Punch2_Case54_ID_1_87248","PDAC2_34"
