"TiffName","Sample","SampleName"
"2023_PDAC1_TMA_Immune_Noor_s0_a17_ac_full.tiff","PDAC1_Sector3Row2Column1_Punch1_Case64_ID_1_93724","2023_PDAC1_TMA_Immune_Noor_17"
"2023_PDAC1_TMA_Immune_Noor_s0_a35_ac_full.tiff","PDAC1_Sector3Row3Column1_Punch1_Case72_ID_G_11291","2023_PDAC1_TMA_Immune_Noor_35"
"2023_PDAC1_TMA_Immune_Noor_s0_a58_ac_full.tiff","PDAC1_Sector3Row1Column1_Punch1_Case56_ID_1_90015","2023_PDAC1_TMA_Immune_Noor_58"
"2023_PDAC1_TMA_Immune_Noor_s0_a62_ac_full.tiff","PDAC1_Sector1Row3Column1_Punch1_Case9_ID_1_3430","2023_PDAC1_TMA_Immune_Noor_62"
"2023_PDAC1_TMA_Immune_Noor_s0_a78_ac_full.tiff","PDAC1_Sector1Row4Column1_Punch1_Case17_ID_1_43125","2023_PDAC1_TMA_Immune_Noor_78"
"2023_PDAC1_TMA_Immune_Noor_s0_a88_ac_full.tiff","PDAC1_Sector1Row2Column1_Punch1_Case1_ID_1_100070","2023_PDAC1_TMA_Immune_Noor_88"
"2023_PDAC1_TMA_Immune_Noor_s0_a89_ac_full.tiff","PDAC1_Sector2Row2Column7_Punch1_Case39_ID_1_69943","2023_PDAC1_TMA_Immune_Noor_89"
"2023_PDAC1_TMA_Immune_Noor_s0_a90_ac_full.tiff","PDAC1_Sector1Row3Column7_Punch1_Case15_ID_1_41902","2023_PDAC1_TMA_Immune_Noor_90"
"2023_PDAC1_TMA_Immune_Noor_s0_a91_ac_full.tiff","PDAC1_Sector4Row3Column2_Punch1_Case104_ID_G_8978","2023_PDAC1_TMA_Immune_Noor_91"
"2023_PDAC1_TMA_Immune_Noor_s0_a92_ac_full.tiff","PDAC1_Sector1Row4Column3_Punch1_Case19_ID_1_45196","2023_PDAC1_TMA_Immune_Noor_92"
"2023_PDAC1_TMA_Immune_Noor_s0_a93_ac_full.tiff","PDAC1_Sector3Row2Column6_Punch1_Case69_ID_1_96460","2023_PDAC1_TMA_Immune_Noor_93"
"2023_PDAC1_TMA_Immune_Noor_s0_a94_ac_full.tiff","PDAC1_Sector4Row1Column6_Punch1_Case93_ID_G_30952","2023_PDAC1_TMA_Immune_Noor_94"
"2023_PDAC1_TMA_Immune_Noor_s0_a95_ac_full.tiff","PDAC1_Sector2Row3Column7_Punch1_Case47_ID_1_72749","2023_PDAC1_TMA_Immune_Noor_95"
